"TIME","Tov"
177.2692305,190.509
177.2750972,190.492
177.2824305,190.518
177.2884305,190.516
177.2950972,190.495
177.3024305,190.521
177.3084305,190.519
177.3150972,190.498
177.3204305,190.516
177.3264305,190.528
177.3337638,190.503
177.3410972,190.523
177.3464305,190.532
177.3537638,190.506
177.3610972,190.526
177.3664305,190.535
177.3717638,190.515
177.3777638,190.514
177.3844305,190.54
177.3917638,190.518
177.3977638,190.518
177.4044305,190.543
177.4117638,190.521
177.4167638,190.518
177.4240972,190.546
177.4314305,190.526
177.4374305,190.523
177.4447638,190.55
177.4520972,190.528
177.4580972,190.53
177.4644972,190.554
177.4707638,190.536
177.4767638,190.528
177.4840972,190.557
177.4914305,190.537
177.4974305,190.534
177.5047638,190.56
177.5120972,190.537
177.5167638,190.535
177.5240972,190.563
177.5314305,190.544
177.5374305,190.541
177.5447638,190.567
177.5520972,190.545
177.5570972,190.543
177.5644305,190.571
177.5717638,190.55
177.5777638,190.55
177.5844305,190.575
177.5917638,190.554
177.5977638,190.554
177.6041638,190.579
177.6104305,190.563
177.6164305,190.553
177.6237638,190.582
177.6310972,190.564
177.6364305,190.557
177.6437638,190.585
177.6510972,190.568
177.6557638,190.559
177.6630972,190.587
177.6704305,190.574
177.6764305,190.564
177.6837638,190.593
177.6910972,190.575
177.6964305,190.568
177.7020972,190.592
177.7080972,190.592
177.7147638,190.571
177.7220972,190.596
177.7280972,190.597
177.7347638,190.575
177.7420972,190.6
177.7467638,190.605
177.7540972,190.579
177.7614305,190.601
177.7674305,190.607
177.7747638,190.582
177.7820972,190.608
177.7880972,190.608
177.7937638,190.587
177.8010972,190.607
177.8064305,190.616
177.8137638,190.59
177.8210972,190.611
177.8257638,190.621
177.8330972,190.595
177.8404305,190.611
177.8464305,190.623
177.8537638,190.597
177.8610972,190.617
177.8664305,190.626
177.8720972,190.604
177.8780972,190.606
177.8847638,190.63
177.8920972,190.607
177.8980972,190.609
177.9047638,190.633
177.9100972,190.619
177.9160972,190.606
177.9234305,190.634
177.9307638,190.618
177.9367638,190.61
177.9424305,190.634
177.9484305,190.631
177.9550972,190.611
177.9624305,190.637
177.9684305,190.634
177.9750972,190.613
177.9824305,190.64
177.9884305,190.637
177.9937638,190.617
178.0010972,190.637
178.0064305,190.646
178.0137638,190.62
178.0210972,190.64
178.0264305,190.649
178.0337638,190.623
178.0396305,190.636
178.0450972,190.653
178.0524305,190.629
178.0584305,190.633
178.0650972,190.656
178.0724305,190.632
178.0784305,190.636
178.0840972,190.658
178.0914305,190.638
178.0974305,190.635
178.1047638,190.661
178.1120972,190.638
178.1180972,190.64
178.1234305,190.662
178.1307638,190.646
178.1367638,190.638
178.1440972,190.666
178.1514305,190.645
178.1574305,190.642
178.1641638,190.668
178.1704305,190.652
178.1764305,190.641
178.1837638,190.669
178.1910972,190.651
178.1964305,190.643
178.2037638,190.671
178.2092305,190.661
178.2150972,190.643
178.2224305,190.669
178.2284305,190.666
178.2350972,190.645
178.2424305,190.671
178.2474305,190.672
178.2547638,190.647
178.2620972,190.671
178.2680972,190.671
178.2747638,190.648
178.2820972,190.673
178.2880972,190.672
178.2939638,190.65
178.3007638,190.669
178.3067638,190.678
178.3140972,190.652
178.3214305,190.674
178.3274305,190.678
178.3347638,190.654
178.3404305,190.671
178.3464305,190.683
178.3537638,190.657
178.3610972,190.677
178.3664305,190.686
178.3734305,190.66
178.3790972,190.67
178.3850972,190.69
178.3924305,190.665
178.3984305,190.67
178.4040972,190.692
178.4114305,190.672
178.4174305,190.669
178.4247638,190.695
178.4320972,190.672
178.4384972,190.676
178.4447638,190.698
178.4520972,190.675
178.4580972,190.677
178.4647638,190.701
178.4720972,190.678
178.4780972,190.68
178.4837638,190.703
178.4910972,190.685
178.4964305,190.678
178.5037638,190.706
178.5110972,190.688
178.5157638,190.679
178.5230972,190.707
178.5304305,190.694
178.5364305,190.684
178.5437638,190.712
178.5510972,190.694
178.5564305,190.687
178.5637638,190.715
178.5690972,190.706
