"TIME","Tov_V_degC","ControlOut_V"
0.1303333333,0.625,0
0.131,0.625,0
0.1316666667,0.625,0
0.1323333333,0.625,0
0.133,0.625,0
0.1336666667,0.625,0
0.1343333333,0.625,0
0.135,0.625,0
0.1356666667,0.625,0
0.1363333333,0.625,0
0.137,0.625,0
0.1376666667,0.625,0
0.1383333333,0.625,0
0.139,0.625,0
0.1396666667,0.625,0
0.1403333333,0.625,0
0.141,0.625,0
0.1416666667,0.625,0
0.1423333333,0.625,0
0.143,0.625,0
0.1436666667,0.625,0
0.1443333333,0.625,0
0.145,0.625,0
0.1456666667,0.625,0
0.1463333333,0.625,0
0.147,0.625,0
0.1476666667,0.625,0
0.1483333333,0.625,0
0.149,0.625,0
0.1496666667,0.625,0
0.15,0.625,0
0.1500666667,0.625,0
0.1502,0.625,0
0.1504666667,0.625,0
0.151,0.625,0
0.1516666667,0.625,0
0.1523333333,0.625,0
0.153,0.625,0
0.1536666667,0.625,0
0.1543333333,0.625,0
0.155,0.625,0
0.1556666667,0.625,0
0.1563333333,0.625,0
0.157,0.625,0
0.1576666667,0.625,0
0.1583333333,0.625,0
0.159,0.625,0
0.1596666667,0.625,0
0.1603333333,0.625,0
0.161,0.625,0
0.1616666667,0.625,0
0.1623333333,0.625,0
0.163,0.625,0
0.1636666667,0.625,0
0.1643333333,0.625,0
0.165,0.625,0
0.1656666667,0.625,0
0.1663333333,0.625,0
0.167,0.625,0
0.1676666667,0.625,0
0.1683333333,0.625,0
0.169,0.625,0
0.1696666667,0.625,0
0.1703333333,0.625,0
0.171,0.625,0
0.1716666667,0.625,0
0.1723333333,0.625,0
0.173,0.625,0
0.1736666667,0.625,0
0.1743333333,0.625,0
0.175,0.625,0
0.1756666667,0.625,0
0.1763333333,0.625,0
0.177,0.625,0
0.1776666667,0.625,0
0.1783333333,0.625,0
0.179,0.625,0
0.1796666667,0.625,0
0.1803333333,0.625,0
0.181,0.625,0
0.1816666667,0.625,0
0.1823333333,0.625,0
0.183,0.625,0
0.1836666667,0.625,0
0.1843333333,0.625,0
0.185,0.625,0
0.1856666667,0.625,0
0.1863333333,0.625,0
0.187,0.625,0
0.1876666667,0.625,0
0.1883333333,0.625,0
0.189,0.625,0
0.1896666667,0.625,0
0.1903333333,0.625,0
0.191,0.625,0
0.1916666667,0.625,0
0.1923333333,0.625,0
0.193,0.625,0
0.1936666667,0.625,0
0.1943333333,0.625,0
0.195,0.625,0
0.1956666667,0.625,0
0.1963333333,0.625,0
0.197,0.625,0
0.1976666667,0.625,0
0.1983333333,0.625,0
0.199,0.625,0
0.1996666667,0.625,0
0.2,0.625,0
0.2000666667,0.625,0
0.2002,0.625,0
0.2004264375,0.625,0
0.2004264475,0.625,4.27536
0.2004673875,0.625,4.27536
0.2057371475,0.625,4.27536
0.211571969,0.625007,4.27536
0.2141003205,0.625124,4.27536
0.2161003205,0.625368,4.27536
0.2187669872,0.625892,4.27536
0.2221003205,0.626649,4.27536
0.2241003205,0.62701,4.27536
0.2261003205,0.627234,4.27536
0.2287669872,0.627332,4.27536
0.2321003205,0.627351,4.27536
0.2334336538,0.627421,4.27536
0.2341003205,0.627455,4.27536
0.2361003205,0.627696,4.27536
0.2387669872,0.628216,4.27536
0.2407669872,0.628668,4.27536
0.2421003205,0.628969,4.27536
0.2445333333,0.629387,4.27536
0.246,0.629522,4.27536
0.2466666667,0.629583,4.27536
0.252,0.629649,4.27536
0.2533333333,0.629712,4.27536
0.254,0.629744,4.27536
0.256,0.629973,4.27536
0.2586666667,0.630481,4.27536
0.2606666667,0.630929,4.27536
0.262,0.631228,4.27536
0.264,0.631588,4.27536
0.266,0.631811,4.27536
0.268,0.631883,4.27536
0.2686666667,0.631907,4.27536
0.272,0.631913,4.27536
0.274,0.632004,4.27536
0.2753333333,0.632163,4.27536
0.2763003205,0.632278,4.27536
0.2791003205,0.632834,4.27536
0.2804336538,0.633128,4.27536
0.2824336538,0.633569,4.27536
0.2844336538,0.6339,4.27536
0.2864336538,0.634091,4.27536
0.2877669872,0.634116,4.27536
0.2897669872,0.634154,4.27536
0.2924336538,0.634169,4.27536
0.2944336538,0.634285,4.27536
0.2951003205,0.634371,4.27536
0.2964336538,0.634542,4.27536
0.2997669872,0.635223,4.27536
0.3024336538,0.635803,4.27536
0.3044336538,0.636131,4.27536
0.3064336538,0.636319,4.27536
0.3097669872,0.636378,4.27536
0.3124336538,0.636389,4.27536
0.3144336538,0.636503,4.27536
0.3164336538,0.636757,4.27536
0.3171003205,0.636892,4.27536
0.3197669872,0.637433,4.27536
0.3224336538,0.63801,4.27536
0.3244336538,0.638336,4.27536
0.3265669872,0.638528,4.27536
0.3297669872,0.638556,4.27536
0.3324336538,0.638579,4.27536
0.3344336538,0.63869,4.27536
0.3364336538,0.63894,4.27536
0.3371003205,0.639074,4.27536
0.3397669872,0.63961,4.27536
0.3424336538,0.640182,4.27536
0.3444336538,0.640504,4.27536
0.3464336538,0.640686,4.27536
0.3497669872,0.640734,4.27536
0.3517669872,0.640736,4.27536
0.3524336538,0.640737,4.27536
0.3544336538,0.640845,4.27536
0.3564336538,0.641092,4.27536
0.3591003205,0.641625,4.27536
0.3597669872,0.641759,4.27536
0.3624336538,0.642327,4.27536
0.3644336538,0.642647,4.27536
0.3664336538,0.64281,4.27536
0.3669003205,0.642848,4.27536
0.3721003205,0.642861,4.27536
0.3741003205,0.642945,4.27536
0.3761003205,0.643165,4.27536
0.3787669872,0.643658,4.27536
0.3794336538,0.643801,4.27536
0.3821003205,0.644376,4.27536
0.3841003205,0.644714,4.27536
0.3861003205,0.644914,4.27536
0.3867669872,0.644931,4.27536
0.3887669872,0.644982,4.27536
0.3921003205,0.644962,4.27536
0.3941003205,0.645044,4.27536
0.3961003205,0.645262,4.27536
0.3987669872,0.645752,4.27536
0.4014336538,0.646324,4.27536
0.4021003205,0.646467,4.27536
0.4041003205,0.646802,4.27536
0.4061003205,0.647,4.27536
0.4087669872,0.647043,4.27536
0.4095669872,0.647056,4.27536
0.4127669872,0.647052,4.27536
0.4141003205,0.647134,4.27536
0.4147669872,0.647174,4.27536
0.4167669872,0.647437,4.27536
0.4214336538,0.648395,4.27536
0.4221003205,0.648531,4.27536
0.4241003205,0.648864,4.27536
0.4261003205,0.64906,4.27536
0.4287669872,0.649122,4.27536
0.4321003205,0.649095,4.27536
0.4341003205,0.649172,4.27536
0.4361003205,0.649385,4.27536
0.4387669872,0.649869,4.27536
0.4421003205,0.650577,4.27536
0.4434336538,0.650797,4.27536
0.4441003205,0.650907,4.27536
0.4461003205,0.651101,4.27536
0.4487669872,0.65116,4.27536
0.4507669872,0.651142,4.27536
0.4521003205,0.65113,4.27536
0.4541003205,0.651205,4.27536
0.4561003205,0.651416,4.27536
0.4581003205,0.651793,4.27536
0.4595669872,0.65207,4.27536
0.4627669872,0.652727,4.27536
0.4634336538,0.652822,4.27536
0.4647669872,0.653013,4.27536
0.4667669872,0.653158,4.27536
0.4707669872,0.653151,4.27536
0.4721003205,0.653149,4.27536
0.4741003205,0.653222,4.27536
0.4761003205,0.653432,4.27536
0.4781003205,0.653791,4.27536
0.4787669872,0.653911,4.27536
0.4821003205,0.654612,4.27536
0.4841003205,0.654939,4.27536
0.4854336538,0.655066,4.27536
0.4861003205,0.655129,4.27536
0.4887669872,0.655183,4.27536
0.4921003205,0.655147,4.27536
0.4927669872,0.655171,4.27536
0.4941003205,0.655218,4.27536
0.4961003205,0.655426,4.27536
0.4984336538,0.655835,4.27536
0.5024336538,0.656666,4.27536
0.5044336538,0.656971,4.27536
0.5057669872,0.657081,4.27536
0.5064336538,0.657136,4.27536
0.5097669872,0.657157,4.27536
0.5124336538,0.657137,4.27536
0.5131003205,0.657167,4.27536
0.5144336538,0.657228,4.27536
0.5164336538,0.657459,4.27536
0.5204336538,0.658249,4.27536
0.5224336538,0.658644,4.27536
0.5244336538,0.658947,4.27536
0.5264336538,0.65911,4.27536
0.5277669872,0.659117,4.27536
0.5297669872,0.659128,4.27536
0.5324336538,0.659105,4.27536
0.5344336538,0.659195,4.27536
0.5351003205,0.659271,4.27536
0.5364336538,0.659424,4.27536
0.5424336538,0.660603,4.27536
0.5444336538,0.660905,4.27536
0.5464336538,0.661066,4.27536
0.5479003205,0.66109,4.27536
0.5484336538,0.661099,4.27536
0.5524336538,0.661053,4.27536
0.5544336538,0.661139,4.27536
0.5551003205,0.661215,4.27536
0.5564336538,0.661366,4.27536
0.5624336538,0.662537,4.27536
0.5644336538,0.662836,4.27536
0.5664336538,0.662995,4.27536
0.5697669872,0.662985,4.27536
0.5724336538,0.662977,4.27536
0.5744336538,0.663062,4.27536
0.5764336538,0.663287,4.27536
0.5771003205,0.663417,4.27536
0.5824336538,0.664454,4.27536
0.5844336538,0.664751,4.27536
0.5864336538,0.664909,4.27536
0.5917669872,0.664888,4.27536
0.5924336538,0.664886,4.27536
0.5944336538,0.664969,4.27536
0.5964336538,0.665192,4.27536
0.5976336538,0.665404,4.27536
0.5984336538,0.665544,4.27536
0.6024336538,0.666358,4.27536
0.6044336538,0.666655,4.27536
0.6064336538,0.666811,4.27536
0.6117669872,0.666789,4.27536
0.6124336538,0.666786,4.27536
0.6144336538,0.666869,4.27536
0.6164336538,0.667092,4.27536
0.6191003205,0.667607,4.27536
0.6224336538,0.668252,4.27536
0.6244336538,0.668547,4.27536
0.6264336538,0.668702,4.27536
0.6324336538,0.668672,4.27536
0.6337669872,0.668726,4.27536
0.6344336538,0.668753,4.27536
0.6364336538,0.668974,4.27536
0.6411003205,0.669873,4.27536
0.6424336538,0.67013,4.27536
0.6444336538,0.670424,4.27536
0.6464336538,0.670577,4.27536
0.6475003205,0.67059,4.27536
0.6484336538,0.670601,4.27536
0.6524336538,0.67054,4.27536
0.6537669872,0.670592,4.27536
0.6544336538,0.670618,4.27536
0.6564336538,0.670837,4.27536
0.6611003205,0.67173,4.27536
0.6624336538,0.671985,4.27536
0.6644336538,0.672277,4.27536
0.6664336538,0.672428,4.27536
0.6684336538,0.672414,4.27536
0.6724336538,0.672387,4.27536
0.6744336538,0.672464,4.27536
0.6757669872,0.672609,4.27536
0.6764336538,0.672682,4.27536
0.6824336538,0.673826,4.27536
0.6831003205,0.673922,4.27536
0.6844336538,0.674116,4.27536
0.6864336538,0.674265,4.27536
0.6904336538,0.674232,4.27536
0.6921003205,0.674218,4.27536
0.6947669872,0.674321,4.27536
0.6961003205,0.674496,4.27536
0.6974336538,0.67467,4.27536
0.7021003205,0.675593,4.27536
0.7034336538,0.675785,4.27536
0.7047669872,0.675976,4.27536
0.7074336538,0.676114,4.27536
0.7107669872,0.676062,4.27536
0.7121003205,0.676041,4.27536
0.7147669872,0.676143,4.27536
